"","Etage","whg_name","room","space","outdoor","prices","status","timestamp","adress"
"1","1","A.11",3.5,NA,NA,NA,"Verkauft",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"2"," 1 & 2","A.12",4.5,154.5,56.5,1065000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"3","2","A.21",5.5,NA,NA,NA,"Reserviert",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"4","3","A.31",3.5,96.5,39,840000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"5","3","A.32",4.5,124,67,960000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"6","4","A.41",3.5,NA,NA,NA,"Reserviert",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"7","4","A.42",4.5,125,19.5,799000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"8","4","A.43",5.5,NA,NA,NA,"Verkauft",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"9","5","A.51",3.5,NA,NA,NA,"Verkauft",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"10","5","A.52",4.5,125,19.5,819000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"11","5","A.53",5.5,147.5,27.5,1018000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"12","6","A.61",4.5,149.5,119,1345000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"13","6","A.62",5.5,147.5,27.5,1148000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"14"," 1 & 2","B.11",4.5,155,49.5,1070000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"15","1","B.12",3.5,116.5,50,861000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"16","2","B.21",5.5,168,20,1070000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"17","3","B.31",4.5,126.5,64.5,1106000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"18","3","B.32",4.5,123.5,56.5,1049000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"19","4","B.41",4.5,127,19,851000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"20","4","B.42",4.5,NA,NA,NA,"Verkauft",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"21","5","B.51",4.5,NA,NA,NA,"Reserviert",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"22","5","B.52",4.5,NA,NA,NA,"Reserviert",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"23","6","B.61",5.5,NA,NA,NA,"Verkauft",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"24","1","C.11",2.5,93.5,45.5,710000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"25"," 1 & 2","C.12",4.5,153,60.5,1059000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"26","2","C.21",4.5,NA,NA,NA,"Verkauft",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"27","3","C.31",4.5,126.5,40,1106000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"28","3","C.32",4.5,123.5,57.5,1049000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"29","4","C.41",4.5,127,19,851000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"30","4","C.42",4.5,NA,NA,NA,"Verkauft",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"31","5","C.51",4.5,NA,NA,NA,"Reserviert",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"32","5","C.52",4.5,NA,NA,NA,"Verkauft",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"33","6","C.61",5.5,NA,NA,NA,"Reserviert",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"34"," 1 & 2","D.11",4.5,159.5,59,1096000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"35","1","D.12",3.5,116.5,92,825000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"36","2","D.21",5.5,NA,NA,NA,"Verkauft",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"37","3","D.31",4.5,126.5,69.5,1106000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"38","3","D.32",4.5,123.5,57,1065000,"Frei",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"39","4","D.41",4.5,NA,NA,NA,"Verkauft",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"40","4","D.42",4.5,NA,NA,NA,"Verkauft",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"41","5","D.51",4.5,NA,NA,NA,"Reserviert",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"42","5","D.52",4.5,NA,NA,NA,"Verkauft",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
"43","6","D.61",5.5,NA,NA,NA,"Reserviert",2023-02-16 08:58:27,"Steinbärenhöhe 2, 6234 Triengen"
